name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
nshm23_704_San_Andreas_Mojave__004,242.0130,34.5000,242.1300,34.4510,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2462537.2619,-4633895.1233,3606560.3671,-2454510.5017,-4641638.9661,3602071.2606,12044.6862,116.7932,242.0715,34.4755,242.0715,34.4755,-2458524.9804,-4637769.1019,3604317.4305,-2458524.9804,-4637769.1019,6.5500,242.0715,34.4755,3,2,-35.9080,0.0000,17.0621,,,
nshm23_704_San_Andreas_Mojave__005,242.1300,34.4510,242.2460,34.4030,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2454510.5017,-4641638.9661,3602071.2606,-2446512.4958,-4649267.6740,3597671.2142,11918.2770,116.5034,242.1880,34.4270,242.1880,34.4270,-2450512.5709,-4645455.3376,3599872.8182,-2450512.5709,-4645455.3376,6.5500,242.1880,34.4270,3,2,-36.0361,0.0000,20.9730,,,
nshm23_704_San_Andreas_Mojave__006,242.2460,34.4030,242.3490,34.3600,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2446512.4958,-4649267.6740,3597671.2142,-2439402.9612,-4656048.5720,3593727.3617,10606.0362,116.6979,242.2975,34.3815,242.2975,34.3815,-2442958.5750,-4652659.7232,3595700.5384,-2442958.5750,-4652659.7232,6.5500,242.2975,34.3815,3,2,-35.9919,0.0000,24.9423,,,
nshm23_704_San_Andreas_Mojave__007,242.3490,34.3600,242.4510,34.3160,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2439402.9612,-4656048.5720,3593727.3617,-2432385.9383,-4662829.3978,3589689.6964,10578.9997,117.4469,242.4000,34.3380,242.4000,34.3380,-2435895.2897,-4659440.5794,3591709.7720,-2435895.2897,-4659440.5794,6.5500,242.4000,34.3380,3,2,-35.6750,0.0000,29.0294,,,
nshm23_920_Calaveras_south_Pai_003,238.7550,36.6830,238.8130,36.6300,90.0000,0,0,0,0,0,0,0,103,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2648678.0643,-4365745.3421,3803830.1199,-2646078.2374,-4371432.5973,3799104.9564,7841.1947,138.5794,238.7840,36.6565,238.7840,36.6565,-2647378.6530,-4368589.7909,3801468.2647,-2647378.6530,-4368589.7909,6.5000,238.7840,36.6565,7,6,-18.7145,0.0000,45.2819,,,
nshm23_920_Calaveras_south_Pai_004,238.7050,36.7390,238.7550,36.6830,90.0000,0,0,0,0,0,0,0,103,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2650554.4271,-4360253.3097,3808819.2089,-2648678.0643,-4365745.3421,3803830.1199,7653.5432,144.2739,238.7300,36.7110,238.7300,36.7110,-2649616.7245,-4363000.1076,3806325.3586,-2649616.7245,-4363000.1076,6.5000,238.7300,36.7110,7,6,-14.6586,0.0000,35.3973,,,
nshm23_920_Calaveras_south_Pai_005,238.6450,36.7850,238.7050,36.7390,90.0000,0,0,0,0,0,0,0,103,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2653527.0107,-4354862.5240,3812914.6675,-2650554.4271,-4360253.3097,3808819.2089,7399.9526,133.5993,238.6750,36.7620,238.6750,36.7620,-2652041.1668,-4357558.6461,3810867.5859,-2652041.1668,-4357558.6461,6.5000,238.6750,36.7620,7,6,-19.8625,0.0000,20.9595,,,
nshm23_920_Calaveras_south_Pai_006,238.6040,36.8390,238.6450,36.7850,90.0000,0,0,0,0,0,0,0,103,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2654769.3462,-4349893.2122,3817719.2435,-2653527.0107,-4354862.5240,3812914.6675,7021.0750,148.5839,238.6245,36.8120,238.6245,36.8120,-2654148.5820,-4352378.5246,3815317.5418,-2654148.5820,-4352378.5246,6.5000,238.6245,36.8120,7,6,-15.1587,0.0000,14.8220,,,
nshm23_900_Hayward_south_exten_000,238.2750,37.2580,238.3360,37.2340,90.0000,0,0,0,0,0,0,0,98,0,5.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2664950.7315,-4310714.7054,3854883.6285,-2661207.2139,-4314923.4883,3852760.4280,6032.0981,116.1854,238.3055,37.2460,238.3055,37.2460,-2663079.2707,-4312819.5761,3853822.4614,-2663079.2707,-4312819.5761,2.5500,238.3055,37.2460,9,8,-14.8424,0.0000,-14.1276,,,
nshm23_900_Hayward_south_exten_001,238.2600,37.3030,238.2750,37.2580,90.0000,0,0,0,0,0,0,0,98,0,5.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2664485.6348,-4307440.7260,3858862.8060,-2664950.7315,-4310714.7054,3854883.6285,5168.3574,165.0805,238.2675,37.2805,238.2675,37.2805,-2664718.4022,-4309078.0683,3856873.5395,-2664718.4022,-4309078.0683,2.5500,238.2675,37.2805,9,8,-20.4375,0.0000,1.8333,,,
nshm23_900_Hayward_south_exten_002,238.2250,37.3460,238.2600,37.3030,90.0000,0,0,0,0,0,0,0,98,0,5.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2665590.6393,-4303349.0761,3862662.9072,-2664485.6348,-4307440.7260,3858862.8060,5691.9237,146.9645,238.2425,37.3245,238.2425,37.3245,-2665038.4033,-4305395.3276,3860763.2463,-2665038.4033,-4305395.3276,2.5500,238.2425,37.3245,9,8,-19.9830,0.0000,-4.6893,,,
nshm23_900_Hayward_south_exten_003,238.1980,37.3970,238.2250,37.3460,90.0000,0,0,0,0,0,0,0,98,0,5.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2665805.2973,-4299168.7049,3867167.1835,-2665590.6393,-4303349.0761,3862662.9072,6144.7259,157.0866,238.2115,37.3715,238.2115,37.3715,-2665698.2784,-4301259.3876,3864915.5010,-2665698.2784,-4301259.3876,2.5500,238.2115,37.3715,9,8,-20.5041,0.0000,-1.1887,,,
nshm23_1_Airport_Lake_000,242.2350,35.8170,242.2500,35.7410,130.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2405303.0071,-4568825.8943,3726217.7678,-2406406.0593,-4573825.6008,3719365.6331,8540.9377,170.8589,242.2425,35.7790,242.2425,35.7790,-2405855.0735,-4571326.7711,3722792.5511,-2405860.3995,-4571325.5961,6.5000,242.2426,35.7790,11,10,7.2251,-15.9133,0.0000,,,
nshm23_1_Airport_Lake_001,242.2190,35.9130,242.2350,35.8170,130.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2403665.4157,-4562623.9161,3734863.7232,-2405303.0071,-4568825.8943,3726217.7678,10749.3996,172.2695,242.2270,35.8650,242.2270,35.8650,-2404485.0664,-4565726.5246,3730542.0959,-2404490.3398,-4565725.1322,6.5000,242.2271,35.8650,11,10,7.4789,-16.0330,0.0000,,,
nshm23_3_Anacapa_-_Dume_000,241.3750,33.9990,241.4480,34.0200,135.0000,0,0,0,0,0,0,0,0,0,15.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2528994.7452,-4633692.7069,3560537.7316,-2522465.0462,-4635764.5061,3562472.3151,7134.3250,70.9230,241.4115,34.0095,241.4115,34.0095,-2525730.2876,-4634729.3296,3561505.5829,-2525732.5558,-4634736.4784,7.5000,241.4115,34.0096,12,13,-33.5827,26.9553,0.0000,,,
nshm23_3_Anacapa_-_Dume_001,241.2570,33.9730,241.3510,33.9920,135.0000,0,0,0,0,0,0,0,0,0,15.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2539309.1211,-4629890.6120,3558141.8704,-2531144.0194,-4633014.6689,3559892.7642,8937.9731,76.3353,241.3040,33.9825,241.3040,33.9825,-2535227.1882,-4631453.7740,3559018.1940,-2535229.8683,-4631460.7788,7.5000,241.3040,33.9826,12,14,-35.1243,17.9771,0.0000,,,
nshm23_3_Anacapa_-_Dume_002,241.1810,33.9580,241.2570,33.9730,135.0000,0,0,0,0,0,0,0,0,0,15.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2545897.1512,-4627334.2620,3556759.3094,-2539309.1211,-4629890.6120,3558141.8704,7218.4506,76.6525,241.2190,33.9655,241.2190,33.9655,-2542603.5404,-4628613.1758,3557451.1615,-2542606.2535,-4628620.1679,7.5000,241.2190,33.9656,12,14,-35.1921,13.4549,0.0000,,,
nshm23_3_Anacapa_-_Dume_003,241.0650,33.9470,241.1810,33.9580,135.0000,0,0,0,0,0,0,0,0,0,15.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2555590.6712,-4622767.9275,3555745.2764,-2545897.1512,-4627334.2620,3556759.3094,10791.7930,83.4758,241.1230,33.9525,241.1230,33.9525,-2550744.8188,-4625052.7438,3556253.5691,-2550748.0150,-4625059.5287,7.5000,241.1230,33.9526,12,14,-35.9182,2.7248,0.0000,,,
nshm23_3_Anacapa_-_Dume_004,240.9800,33.9700,241.0650,33.9470,135.0000,0,0,0,0,0,0,0,0,0,15.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2561753.2270,-4617723.0125,3557865.3777,-2555590.6712,-4622767.9275,3555745.2764,8260.3611,107.9661,241.0225,33.9585,241.0225,33.9585,-2558672.4857,-4620246.4339,3556806.0760,-2558677.2366,-4620252.2373,7.5000,241.0225,33.9586,14,12,-32.6503,-23.3293,0.0000,,,
