lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate
138.502,34.7673,-10.0,138.587,34.6788,0.0,138.614,34.8131,0.0,0,-3.548439503102260,30.770551606357800
138.542,34.8993,-10.0,138.502,34.7673,-10.0,138.614,34.8131,0.0,0,-1.5047058583319100,31.359719078254400
138.542,34.8993,-10.0,138.614,34.8131,0.0,138.639,34.948,0.0,0,3.480511106414910,32.315241268823700
138.557,35.035,-10.0,138.542,34.8993,-10.0,138.639,34.948,0.0,0,5.965674079792050,32.22857565992010
138.563,35.171,-10.0,138.557,35.035,-10.0,138.638,35.084,0.0,0,10.154176749375900,30.831763552987100
138.557,35.035,-10.0,138.639,34.948,0.0,138.638,35.084,0.0,0,8.838750035734700,31.987449511777100
138.502,34.7673,-10.0,138.462,34.6355,-10.0,138.587,34.6788,0.0,0,-9.073136937947980,28.82127035784540
138.576,34.5441,0.0,138.587,34.6788,0.0,138.462,34.6355,-10.0,0,-7.742490630198710,28.626694038043000
137.732,33.52,-1.3620874,137.615,33.4789,-2.2460146,137.752,33.3999,0.0,0,74.93085635255110,85.50094303925740
132.719,31.497,-7.7317186,132.811,31.3955,-5.7539373,132.849,31.519,-6.4555701,0,53.200010979392800,-47.9946199072843
137.752,33.3999,0.0,137.812,33.4708,0.0,137.732,33.52,-1.3620874,0,80.91743065353090,87.47770866883060
137.812,33.4708,0.0,137.899,33.5512,0.0,137.732,33.52,-1.3620874,0,83.99768032149090,89.59643088542580
132.41,30.5381,-5.1652348,132.33,30.4195,-6.6666667,132.483,30.4028,-3.3333333,0,51.59431660737150,-56.966439197449000
132.756,31.6229,-8.4927546,132.695,31.7015,-10.0,132.592,31.5976,-10.0,0,78.65395826168730,-56.03713360369870
132.719,31.497,-7.7317186,132.756,31.6229,-8.4927546,132.592,31.5976,-10.0,0,68.64497847274110,-62.05170109639820
137.615,33.4789,-2.2460146,137.732,33.52,-1.3620874,137.612,33.6346,-4.0220501,0,67.25619440509620,85.03936834461880
138.419,33.9654,0.0,138.306,33.951,-2.0562268,138.323,33.8578,0.0,0,69.54671123676430,57.74301215926210
134.512,32.9285,-10.0,134.417,32.818,-10.0,134.572,32.7916,-7.9957555,0,9.55379931968363,60.205445096822800
132.935,31.3066,-3.4288866,132.941,31.4353,-4.6884757,132.811,31.3955,-5.7539373,0,37.89058115676980,-21.912266729414700
132.941,31.4353,-4.6884757,132.849,31.519,-6.4555701,132.811,31.3955,-5.7539373,0,52.03212015132720,-29.34569366519900
133.036,31.2431,-1.6106382,132.935,31.3066,-3.4288866,132.87,31.1848,-2.6591089,0,14.40089117717020,-8.82602527514731
133.086,31.3875,-2.5477505,133.163,31.284,-0.91063035,133.262,31.3855,0.0,0,48.66524535044280,47.430676245205900
132.664,31.3702,-7.5482615,132.542,31.4692,-10.0,132.486,31.342,-10.0,0,24.551516336589900,-84.70916315916130
132.87,31.1848,-2.6591089,132.788,31.2775,-4.9254022,132.688,31.1515,-4.4547241,0,-4.972258495427120,-48.74482907439500
132.756,31.6229,-8.4927546,132.719,31.497,-7.7317186,132.849,31.519,-6.4555701,0,67.85249794876130,-49.128246637291800
132.849,31.519,-6.4555701,132.876,31.6201,-7.1720434,132.756,31.6229,-8.4927546,0,76.61776365103520,-35.06517022770320
132.521,31.1453,-7.043649,132.346,31.0978,-10.0,132.48,31.02,-6.7180443,0,-18.508392478299900,-87.71742044121730
132.408,31.2235,-10.0,132.346,31.0978,-10.0,132.521,31.1453,-7.043649,0,-14.022093596957200,-89.99999006921590
133.836,32.1868,-10.0,133.696,32.1205,-10.0,133.776,32.0479,-7.0330262,0,61.14681540001500,-34.956108465134500
133.086,31.3875,-2.5477505,132.941,31.4353,-4.6884757,132.935,31.3066,-3.4288866,0,42.34067969936980,4.1358484123535800
132.935,31.3066,-3.4288866,133.036,31.2431,-1.6106382,133.086,31.3875,-2.5477505,0,31.993141384769800,11.372470861449000
133.163,31.284,-0.91063035,133.086,31.3875,-2.5477505,133.036,31.2431,-1.6106382,0,36.13398529051590,29.56009219521540
132.962,31.0856,0.0,133.094,31.1611,0.0,133.036,31.2431,-1.6106382,0,10.93470815964500,7.827223823805380
