name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
n_ridge_3aabaa              ,126.7520,26.9720,126.8090,26.8230,90.0000,100,0,0,0,0,0,0,0,0,5.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3404569.1560,4549491.4641,2873219.0555,-3395559.1305,4546874.0670,2887986.4736,17453.6141,161.0555,126.7805,26.8975,126.7805,26.8975,-3400067.3318,4548187.0474,2880605.5236,-3400067.3318,4548187.0474,2.5000,126.7805,26.8975,12,20,-23.4579,0.0000,-3.6305,0.0000,0.0000,0.0000
n_ridge_3aababa             ,126.7520,26.9720,126.8850,27.1540,90.0000,100,0,0,0,0,0,0,0,0,5.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3395559.1305,4546874.0670,2887986.4736,-3400581.2554,4531619.3681,2905998.0196,24098.8312,33.1638,126.8185,27.0630,126.8184,27.0630,-3398076.2961,4539254.8231,2896997.5144,-3398076.2961,4539254.8231,2.5000,126.8184,27.0630,12,20,-17.4040,0.0000,15.9572,0.0000,0.0000,0.0000
n_ridge_3aababb             ,126.8850,27.1540,127.4080,27.4840,90.0000,100,0,0,0,0,0,0,0,0,5.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3400581.2554,4531619.3681,2905998.0196,-3431579.2112,4487020.7136,2938581.4086,63376.0717,54.6418,127.1465,27.3190,127.1461,27.3192,-3416122.5459,4509375.5581,2922326.1776,-3416122.5459,4509375.5581,2.5000,127.1461,27.3192,12,20,-10.4895,0.0000,20.4068,0.0000,0.0000,0.0000
n_ridge_3aabb               ,127.3250,27.6430,127.4080,27.4840,90.0000,100,0,0,0,0,0,0,0,0,5.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3431579.2112,4487020.7136,2938581.4086,-3420117.8965,4485485.0272,2954245.9454,19432.4785,155.0323,127.3665,27.5635,127.3665,27.5635,-3425852.5303,4486258.1034,2946417.1688,-3425852.5303,4486258.1034,2.5000,127.3665,27.5635,12,20,-21.3792,0.0000,-6.9590,0.0000,0.0000,0.0000
na-e                        ,268.6400,12.8800,285.1230,83.2540,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,195139.7999,-722067.6601,6323360.6741,-147324.0320,-6205485.2294,1419366.1116,7856039.4450,2.0317,276.8815,48.0670,270.3997,48.2756,29560.2424,-4237741.9391,4752370.0309,29560.2424,-4237741.9391,0.0000,270.3997,48.2756,2,6,-22.9162,0.0000,-90.9674,0.0000,0.0000,0.0000
neodaniaaa                  ,137.1580,35.2700,137.2000,35.2030,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3817547.1256,3535087.3988,3670673.3017,-3811804.8313,3534963.7123,3676754.9472,8358.8100,152.7706,137.1790,35.2365,137.1790,35.2365,-3814676.7943,3535026.3164,3673714.9262,-3814676.7943,3535026.3164,0.0000,137.1790,35.2365,17,18,1.4572,0.0000,-1.2089,0.0000,0.0000,0.0000
neodaniaab                  ,136.8900,35.4280,137.1580,35.2700,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3811804.8313,3534963.7123,3676754.9472,-3787812.0667,3545812.0584,3691076.8151,30012.3264,125.6605,137.0240,35.3490,137.0241,35.3491,-3799818.8984,3540397.6938,3683926.1625,-3799818.8984,3540397.6938,0.0000,137.0241,35.3491,17,18,1.8837,0.0000,-0.7620,0.0000,0.0000,0.0000
neodaniaba                  ,136.7130,35.5200,136.8900,35.4280,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3787812.0667,3545812.0584,3691076.8151,-3772521.0382,3553428.2584,3699403.2074,19032.8769,122.3807,136.8015,35.4740,136.8016,35.4740,-3780170.7324,3549624.1115,3695244.1546,-3780170.7324,3549624.1115,0.0000,136.8016,35.4740,17,18,1.9395,0.0000,-1.1112,0.0000,0.0000,0.0000
neodaniabb                  ,136.5500,35.7260,136.7130,35.5200,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3772521.0382,3553428.2584,3699403.2074,-3752716.3758,3554976.0307,3718012.4644,27211.1270,147.0878,136.6315,35.6230,136.6316,35.6230,-3762627.2258,3554210.2493,3708716.3985,-3762627.2258,3554210.2493,0.0000,136.6316,35.6230,17,18,1.2216,0.0000,-2.2351,0.0000,0.0000,0.0000
neodanib                    ,136.3750,35.8860,136.5500,35.7260,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3752716.3758,3554976.0307,3718012.4644,-3734310.5542,3559244.1962,3732433.1070,23777.0386,138.2488,136.4625,35.8060,136.4626,35.8060,-3743519.9294,3557116.3043,3725229.3349,-3743519.9294,3557116.3043,0.0000,136.4626,35.8060,17,18,1.5868,0.0000,-2.4934,0.0000,0.0000,0.0000
neryu                       ,128.5310,28.3660,130.0000,26.9860,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3647267.4715,4346644.1123,2889373.0140,-3490265.2812,4382995.1174,3025186.5281,210680.7230,136.1952,129.2655,27.6760,129.2701,27.6780,-3569251.8596,4365417.1824,2957689.2074,-3569251.8596,4365417.1824,0.0000,129.2701,27.6780,20,13,6.9538,0.0000,8.8741,0.0000,0.0000,0.0000
nktz2                       ,136.3750,35.8860,136.8980,36.2110,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3751124.8876,3510486.1946,3761635.3114,-3734310.5542,3559244.1962,3732433.1070,59341.1519,52.4227,136.6365,36.0485,136.6360,36.0488,-3742758.2377,3534903.1695,3747075.1018,-3742758.2377,3534903.1695,0.0000,136.6360,36.0488,5,18,-9.5511,0.0000,-8.7777,0.0000,0.0000,0.0000
nktz3                       ,136.1330,35.7110,136.3750,35.8860,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3734310.5542,3559244.1962,3732433.1070,-3727445.6436,3582868.4052,3716659.0409,29249.6208,48.3356,136.2540,35.7985,136.2539,35.7986,-3730887.9167,3571065.6245,3724555.9627,-3730887.9167,3571065.6245,0.0000,136.2539,35.7986,5,17,-6.3018,0.0000,-6.2575,0.0000,0.0000,0.0000
nnktzaa                     ,138.2260,36.6710,138.3340,36.7270,135.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3812458.2085,3392720.2323,3807750.4245,-3808830.0095,3402378.2228,3802760.5564,11478.7346,57.1897,138.2800,36.6990,138.2800,36.6990,-3810645.6511,3397550.5924,3805257.0419,-3810645.6511,3397550.5924,0.0000,138.2800,36.6990,9,1,-6.4251,11.5969,0.0000,0.0000,0.0000,0.0000
nnktzab                     ,138.1210,36.6110,138.2260,36.6710,135.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3808830.0095,3402378.2228,3802760.5564,-3805551.3508,3412009.0653,3797410.2381,11511.0418,54.6290,138.1735,36.6410,138.1735,36.6410,-3807192.2301,3407195.0205,3800086.9565,-3807192.2301,3407195.0205,0.0000,138.1735,36.6410,9,1,-6.0553,12.4314,0.0000,0.0000,0.0000,0.0000
nnktzb                      ,137.8430,36.5620,138.1210,36.6110,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3805551.3508,3412009.0653,3797410.2381,-3791357.5793,3432611.8345,3793037.7221,25465.8717,77.5883,137.9820,36.5865,137.9820,36.5866,-3798462.0108,3422317.2255,3795231.5636,-3798462.0108,3422317.2255,0.0000,137.9820,36.5866,9,1,-9.0784,0.0000,-6.2122,0.0000,0.0000,0.0000
nw-izua                     ,138.8340,35.3540,138.9740,35.3770,135.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3916726.0119,3407879.6375,3686456.9963,-3909501.0229,3418413.6396,3684372.5927,12976.6243,78.6187,138.9040,35.3655,138.9040,35.3655,-3913115.5360,3413148.3939,3685416.7070,-3913115.5360,3413148.3939,0.0000,138.9040,35.3655,1,15,-2.9393,3.1254,0.0000,0.0000,0.0000,0.0000
nw-izub                     ,138.5470,35.2970,138.8340,35.3540,135.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3909501.0229,3418413.6396,3684372.5927,-3895074.1411,3440378.5156,3679204.3388,26850.8563,76.2947,138.6905,35.3255,138.6904,35.3256,-3902296.2037,3429403.6272,3681796.6485,-3902296.2037,3429403.6272,0.0000,138.6904,35.3256,1,15,-2.8318,5.5567,0.0000,0.0000,0.0000,0.0000
nwhonshu-sojaa              ,140.4250,46.0240,141.2760,46.9200,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-3393018.6741,2720654.8196,4650786.2874,-3407883.9395,2816743.0612,4582208.7516,119127.8402,32.9655,140.8505,46.4720,140.8470,46.4728,-3400599.0131,2768818.1037,4616700.5666,-3400599.0131,2768818.1037,0.0000,140.8470,46.4728,5,0,1.4865,0.0000,2.5034,0.0000,0.0000,0.0000
ok_eu_1                     ,142.2010,68.0380,144.8800,65.1610,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-2187826.7727,1538771.6081,5778403.5349,-1881677.4564,1459526.0486,5905372.5645,342035.2636,158.4496,143.5405,66.5995,143.6182,66.6053,-2035467.4431,1499680.3683,5843986.8705,-2035467.4431,1499680.3683,7.5000,143.6182,66.6053,4,2,0.8510,0.0000,-1.6248,0.0000,0.0000,0.0000
ok_eu_2ab                   ,141.4390,56.2810,142.3760,54.0960,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,-1.0000,1.0000,0,-1.0000,1.0000,0,-1.0000,1.0000,-2957497.4051,2279553.7854,5157634.6420,-2763939.0121,2203344.9216,5296249.9710,250457.4311,165.8290,141.9075,55.1885,141.9203,55.1895,-2861261.1692,2241877.0445,5227955.9391,-2861261.1692,2241877.0445,7.5000,141.9203,55.1895,4,7,0.8553,0.0000,-6.6048,0.0000,0.0000,0.0000
