lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,strike_slip_rate,dip_slip_rate
132.297,30.5282,-7.6542833,132.33,30.4195,-6.6666667,132.41,30.5381,-5.1652348,4.521446476027681,-19.45101178578055
132.33,30.4195,-6.6666667,132.297,30.5282,-7.6542833,132.178,30.436,-10.0,-0.32696493972972007,-18.964481393165944
132.297,30.5282,-7.6542833,132.195,30.5715,-10.0,132.178,30.436,-10.0,-2.206018875805718,-19.129446537261188
132.788,31.2775,-4.9254022,132.935,31.3066,-3.4288866,132.811,31.3955,-5.7539373,22.734796351443556,-12.629407026275054
132.935,31.3066,-3.4288866,132.788,31.2775,-4.9254022,132.87,31.1848,-2.6591089,23.879603012508515,-13.265717229027704
132.664,31.3702,-7.5482615,132.788,31.2775,-4.9254022,132.811,31.3955,-5.7539373,22.706764245286728,-17.25092623261122
133.789,31.9263,-3.7056374,133.776,32.0479,-7.0330262,133.647,31.945,-5.9791631,20.684019519112397,18.075270880724204
134.458,32.5694,-7.3571455,134.476,32.6962,-8.1886388,134.339,32.699,-10.0,26.313121558988904,49.6924019511991
134.748,32.5453,-3.6769105,134.883,32.4746,-1.4920618,134.847,32.5963,-2.7409163,-8.525379568714104,20.71415612964961
136.617,32.9642,-1.8515813,136.467,32.9296,-2.3557651,136.535,32.8407,0.0,-27.013144511321492,44.83515186184462
136.683,32.8966,0.0,136.617,32.9642,-1.8515813,136.535,32.8407,0.0,-25.509938594326787,46.65959741383101
137.106,33.0662,0.0,136.991,33.1493,-1.9826412,136.973,33.0169,0.0,-15.573878003055881,49.99994266503682
132.664,31.3702,-7.5482615,132.603,31.2565,-7.2004582,132.788,31.2775,-4.9254022,23.289991263188952,-19.765225615311884
132.603,31.2565,-7.2004582,132.688,31.1515,-4.4547241,132.788,31.2775,-4.9254022,24.057857857216348,-19.999990254578023
132.831,31.0104,0.0,132.71,31.0298,-2.3233299,132.776,30.9131,0.0,29.768250341231067,-18.65397155309901
132.636,30.9176,-2.7724891,132.72,30.7854,0.0,132.776,30.9131,0.0,29.999945085166175,-19.135257562568913
132.72,30.7854,0.0,132.636,30.9176,-2.7724891,132.541,30.7726,-3.5179775,28.595963101395178,-19.5989290290086
132.876,31.6201,-7.1720434,132.836,31.7612,-10.0,132.756,31.6229,-8.4927546,29.221894548228683,3.3534116371955953
132.836,31.7612,-10.0,132.695,31.7015,-10.0,132.756,31.6229,-8.4927546,29.890308156857117,0.8537298942257685
133.208,31.238,0.0,133.219,31.2488,0.0,133.163,31.284,-0.91063035,29.999938619742878,11.200847246479587
133.262,31.3855,0.0,133.163,31.284,-0.91063035,133.219,31.2488,0.0,29.905594710940427,16.056624362354402
133.094,31.1611,0.0,133.208,31.238,0.0,133.163,31.284,-0.91063035,29.572102683161255,6.6532705925538735
133.163,31.284,-0.91063035,133.036,31.2431,-1.6106382,133.094,31.1611,0.0,28.53915381020673,2.9238009830517893
136.826,32.9607,0.0,136.973,33.0169,0.0,136.873,33.0946,-2.3962722,-17.146035809509808,49.999932932440224
136.873,33.0946,-2.3962722,136.746,33.0426,-2.2961115,136.826,32.9607,0.0,-18.26444244408016,48.92079990117911
132.984,31.5299,-4.9496297,132.984,31.6535,-6.8058928,132.876,31.6201,-7.1720434,26.79706056059599,13.02416981516781
134.709,32.2522,0.0,134.848,32.3208,0.0,134.728,32.3912,-2.1533578,2.8468244731529975,23.19534587746794
133.66,31.8223,-2.7734885,133.789,31.9263,-3.7056374,133.647,31.945,-5.9791631,23.997887479644326,19.933961228590825
134.627,33.022,-10.0,134.512,32.9285,-10.0,134.66,32.9281,-8.3832364,-2.126149679625083,49.24371100935767
134.512,32.9285,-10.0,134.572,32.7916,-7.9957555,134.66,32.9281,-8.3832364,4.721631852721831,49.397818911050685
133.789,31.9263,-3.7056374,133.949,31.9922,-3.3149433,133.776,32.0479,-7.0330262,22.943351094927365,13.509889807579661
133.9,31.8407,0.0,134.037,31.9116,0.0,133.949,31.9922,-3.3149433,27.7563784242397,9.345785468592933
134.339,32.699,-10.0,134.281,32.572,-10.0,134.458,32.5694,-7.3571455,29.455676411294647,49.97902971063236
136.746,33.0426,-2.2961115,136.617,32.9642,-1.8515813,136.683,32.8966,0.0,-23.686741300985407,48.246620374432034
137.112,33.7263,-10.0,136.977,33.6496,-10.0,137.142,33.6013,-7.9712047,-23.981031902672683,34.52423766114674
136.878,33.2332,-4.4903772,136.991,33.1493,-1.9826412,137.039,33.2743,-3.9489243,-11.826140618123782,43.6891096203599
133.086,31.3875,-2.5477505,132.984,31.5299,-4.9496297,132.941,31.4353,-4.6884757,24.694330962561445,9.478393198685206
132.666,30.6572,0.0,132.541,30.7726,-3.5179775,132.468,30.6666,-4.3067777,23.056961654378682,-19.939811986552243
132.541,30.7726,-3.5179775,132.666,30.6572,0.0,132.72,30.7854,0.0,26.583186820896444,-19.544174891525337
132.603,31.2565,-7.2004582,132.521,31.1453,-7.043649,132.688,31.1515,-4.4547241,24.883294842189994,-19.999994044957944
132.664,31.3702,-7.5482615,132.486,31.342,-10.0,132.603,31.2565,-7.2004582,24.2021639587369,-19.582861606410965
132.521,31.1453,-7.043649,132.61,31.0557,-4.4818304,132.688,31.1515,-4.4547241,26.23569825524688,-19.88081368702372
132.61,31.0557,-4.4818304,132.521,31.1453,-7.043649,132.48,31.02,-6.7180443,25.959829280703822,-19.069592853248043
133.96,32.2734,-10.0,134.117,32.2049,-5.8910232,134.084,32.3596,-10.0,22.787666594833215,39.482769520489754
134.417,32.818,-10.0,134.339,32.699,-10.0,134.476,32.6962,-8.1886388,23.764508046338868,49.45715729053252
134.572,32.7916,-7.9957555,134.417,32.818,-10.0,134.476,32.6962,-8.1886388,18.270166963195194,49.623599682120826
132.427,30.8871,-6.6552934,132.48,31.02,-6.7180443,132.294,30.969,-10.0,20.73836676599302,-18.284218863373376
135.735,33.0264,-10.0,135.885,32.9483,-6.9823595,135.884,33.0796,-10.0,-10.94806741735879,24.51854204780064
137.732,33.52,-1.3620874,137.828,33.6957,-2.7309865,137.612,33.6346,-4.0220501,-23.92383303433686,37.32878843156093
137.828,33.6957,-2.7309865,137.732,33.52,-1.3620874,137.899,33.5512,0.0,-22.40116087068869,32.72839735312712
134.264,32.199,-3.7167563,134.208,32.3226,-7.4391988,134.117,32.2049,-5.8910232,25.494338347795043,38.84396659427502
134.208,32.3226,-7.4391988,134.084,32.3596,-10.0,134.117,32.2049,-5.8910232,25.413976105167382,42.20718049183286
136.873,33.0946,-2.3962722,136.878,33.2332,-4.4903772,136.738,33.1893,-4.9184762,-12.482092704234773,41.729950852071454
136.991,33.1493,-1.9826412,136.873,33.0946,-2.3962722,136.973,33.0169,0.0,-14.978000090732264,49.1560141279554
136.878,33.2332,-4.4903772,136.873,33.0946,-2.3962722,136.991,33.1493,-1.9826412,-12.699934374820959,45.30456821312257
133.262,31.3855,0.0,133.12,31.5311,-3.4678016,133.086,31.3875,-2.5477505,27.825408028545365,23.712359995771546
132.984,31.6535,-6.8058928,132.984,31.5299,-4.9496297,133.12,31.5311,-3.4678016,26.428727351299784,21.53093149318573
132.984,31.5299,-4.9496297,133.086,31.3875,-2.5477505,133.12,31.5311,-3.4678016,25.930178191286444,18.81030506176792
132.688,31.1515,-4.4547241,132.61,31.0557,-4.4818304,132.71,31.0298,-2.3233299,27.588519716421548,-19.99999170371252
138.462,34.6355,-10.0,138.391,34.5129,-10.0,138.576,34.5441,0.0,-3.3862137785142257,24.360116454698165
133.789,31.9263,-3.7056374,133.9,31.8407,0.0,133.949,31.9922,-3.3149433,26.767015245266364,10.204192681807053
136.878,33.2332,-4.4903772,136.754,33.3139,-7.3437822,136.738,33.1893,-4.9184762,-9.7689396273956,34.68210096921394
136.587,33.2448,-7.3703064,136.738,33.1893,-4.9184762,136.754,33.3139,-7.3437822,-11.522681880259857,31.017593584847607
