lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi
88.3600,69.3620,0.0000,0,NRIL_GPS,1.2300,-7.1000,0.8200,0.8200,1,0,1,0,0,0,0.0000,64230.2882,2243365.4494,5958820.1342,4,4.3113,-10.0827,3.0813,-2.9827,4.4168,-10.2132,0.0800,-0.0949,0.0253,-0.0352,0.0000,0.0000,-0.0002,0.0004
106.0100,51.1700,-0.0060,0,UDUN_GEC,9.6300,-6.8300,1.1400,1.1500,1,0,1,0,0,0,0.0000,-1101141.7080,3837609.4791,4960301.5923,5,8.3060,-7.7067,-1.3240,-0.8767,8.5874,-7.8722,0.1844,-0.0923,0.0961,-0.0726,0.0000,0.0000,-0.0010,0.0006
107.8200,22.3260,0.0020,0,F062_GPS,26.5830,-8.6560,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1802540.9589,5607531.9425,2418839.1983,4,26.3954,-7.7659,-0.1876,0.8901,25.4602,-7.2222,-0.9731,0.5440,0.0373,-0.0006,0.0000,0.0000,-0.0006,-0.0003
108.1690,23.7500,-0.0040,0,F059_GPS,26.8330,-9.4230,1.7000,1.7000,1,0,1,0,0,0,0.0000,-1817353.0015,5537606.6319,2564467.2585,12,26.4555,-9.0628,-0.3775,0.3602,25.8695,-8.6600,-0.6293,0.4041,0.0426,-0.0015,0.0000,0.0000,-0.0007,-0.0003
108.2960,23.1490,0.0000,0,F060_GPS,24.4800,-7.8110,1.8000,1.7000,1,0,1,0,0,0,0.0000,-1837966.7508,5558799.7973,2503192.8607,4,25.8477,-7.5901,1.3677,0.2209,25.1253,-7.1371,-0.7635,0.4537,0.0405,-0.0010,0.0000,0.0000,-0.0007,-0.0003
109.1060,33.6580,-0.0030,0,F054_GPS,21.2100,-8.1360,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1734782.6502,5008057.2226,3529057.0232,4,20.4995,-7.0048,-0.7105,1.1312,20.6509,-6.9911,0.0536,0.0353,0.0966,-0.0218,0.0000,0.0000,-0.0011,-0.0001
109.2600,22.4110,0.0380,0,F063_GPS,25.3110,-7.9220,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1941703.7126,5557069.2982,2427574.7092,4,26.3317,-7.4867,1.0207,0.4353,25.3603,-6.9632,-1.0106,0.5233,0.0386,-0.0001,0.0000,0.0000,-0.0007,-0.0003
109.9230,33.8800,0.0150,0,D078_GPS,20.2470,-7.1620,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1801342.4727,4969919.2658,3549566.0649,4,20.3245,-6.8419,0.0775,0.3201,20.4942,-6.8425,0.0658,0.0225,0.1027,-0.0232,0.0000,0.0000,-0.0012,-0.0001
109.9660,41.7550,0.0810,0,HB04_GUA,12.9800,-3.1200,1.7200,1.5500,1,0,1,0,0,0,0.0000,-1621983.9039,4464605.6865,4240379.1978,4,16.3844,-6.7346,3.4044,-3.6146,16.6834,-6.8346,0.1600,-0.0380,0.1377,-0.0618,0.0000,0.0000,-0.0014,0.0003
110.1410,22.6880,0.0110,0,F049_GPS,25.2420,-8.1420,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2022853.4187,5515474.1266,2456005.0218,12,26.9969,-8.9386,1.7549,-0.7966,26.0843,-8.4479,-0.9535,0.4903,0.0402,0.0001,0.0000,0.0000,-0.0007,-0.0003
110.5550,27.9110,-0.0220,0,F057_GPS,22.7720,-7.8050,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1975590.0347,5268532.4292,2980597.5104,12,24.3579,-8.5147,1.5859,-0.7097,24.3325,-8.4021,-0.0926,0.1182,0.0661,-0.0060,0.0000,0.0000,-0.0009,-0.0003
111.4750,33.2800,-0.0180,0,C060_GPS,21.1530,-8.1250,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1948789.6885,4953628.2669,3494014.4827,4,20.4865,-6.5407,-0.6665,1.5843,20.6697,-6.5563,0.0740,0.0060,0.1079,-0.0218,0.0000,0.0000,-0.0012,-0.0002
111.5630,22.7860,-0.0240,0,F047_GPS,26.1670,-8.3170,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2157555.5896,5459661.5538,2466049.6866,12,26.9050,-8.7779,0.7380,-0.4609,25.9734,-8.2888,-0.9738,0.4881,0.0415,0.0006,0.0000,0.0000,-0.0007,-0.0004
111.7090,41.5150,-0.0290,0,HB08_GUA,15.1800,-2.3700,1.5900,1.5000,1,0,1,0,0,0,0.0000,-1763585.2762,4429668.5818,4220444.8451,5,12.1851,-6.6993,-2.9949,-4.3293,12.5155,-6.8142,0.1747,-0.0467,0.1542,-0.0680,0.0000,0.0000,-0.0016,0.0003
112.1080,31.9050,-0.0350,0,F029_GPS,21.9800,-8.0700,1.6000,1.6000,1,0,1,0,0,0,0.0000,-2034374.4821,5008054.0781,3365273.5816,12,22.5902,-8.2141,0.6102,-0.1441,22.7545,-8.2265,0.0626,0.0038,0.1006,-0.0165,0.0000,0.0000,-0.0012,-0.0003
112.3510,32.5380,-0.0340,0,C063_GPS,22.2820,-7.5490,1.6000,1.6000,1,0,1,0,0,0,0.0000,-2041332.3344,4964690.4762,3424786.4513,12,22.3093,-8.1762,0.0273,-0.6272,22.4921,-8.1984,0.0742,-0.0034,0.1073,-0.0191,0.0000,0.0000,-0.0013,-0.0003
112.5630,26.9110,-0.0360,0,F034_GPS,23.6210,-8.5310,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2178611.8830,5243320.0979,2881943.1077,12,24.5614,-8.2616,0.9404,0.2694,24.5480,-8.1738,-0.0786,0.0907,0.0642,-0.0034,0.0000,0.0000,-0.0010,-0.0004
112.6880,22.3380,-0.0440,0,F044_GPS,25.2900,-8.0210,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2271701.1247,5433872.7671,2420072.7701,12,27.2638,-8.7477,1.9738,-0.7267,26.0518,-8.1593,-1.2529,0.5865,0.0402,0.0015,0.0000,0.0000,-0.0007,-0.0004
113.3120,32.7510,-0.0380,0,C059_GPS,21.7370,-8.1690,1.6000,1.6000,1,0,1,0,0,0,0.0000,-2119259.0096,4918028.8071,3444718.4739,12,22.1309,-8.0476,0.3939,0.1214,22.3355,-8.0861,0.0878,-0.0182,0.1155,-0.0205,0.0000,0.0000,-0.0014,-0.0003
