lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate
132.468,30.6666,-4.3067777,132.305,30.6535,-7.7626243,132.41,30.5381,-5.1652348,0,15.540181250122800,-18.82837293600200
137.637,33.3413,0.0,137.752,33.3999,0.0,137.615,33.4789,-2.2460146,0,-24.555762071773600,51.16134581676330
132.297,30.5282,-7.6542833,132.33,30.4195,-6.6666667,132.41,30.5381,-5.1652348,0,8.798991432723150,-19.265113397112200
132.33,30.4195,-6.6666667,132.297,30.5282,-7.6542833,132.178,30.436,-10.0,0,4.428253399847690,-19.179271572566900
132.297,30.5282,-7.6542833,132.195,30.5715,-10.0,132.178,30.436,-10.0,0,2.933616316219740,-19.164027898140300
132.788,31.2775,-4.9254022,132.935,31.3066,-3.4288866,132.811,31.3955,-5.7539373,0,25.34555423641830,-6.542179168379610
132.935,31.3066,-3.4288866,132.788,31.2775,-4.9254022,132.87,31.1848,-2.6591089,0,25.925386078654800,-8.90416593121058
132.664,31.3702,-7.5482615,132.788,31.2775,-4.9254022,132.811,31.3955,-5.7539373,0,25.18266552889550,-12.960477962541600
133.789,31.9263,-3.7056374,133.776,32.0479,-7.0330262,133.647,31.945,-5.9791631,0,29.1153329210507,8.385098498742750
134.458,32.5694,-7.3571455,134.476,32.6962,-8.1886388,134.339,32.699,-10.0,0,27.138575616540800,53.62964160353410
134.748,32.5453,-3.6769105,134.883,32.4746,-1.4920618,134.847,32.5963,-2.7409163,0,-7.312816863193510,16.87633669729990
136.617,32.9642,-1.8515813,136.467,32.9296,-2.3557651,136.535,32.8407,0.0,0,-28.778334880149000,52.1023064187561
136.683,32.8966,0.0,136.617,32.9642,-1.8515813,136.535,32.8407,0.0,0,-28.024024314209600,55.020276213800300
137.106,33.0662,0.0,136.991,33.1493,-1.9826412,136.973,33.0169,0.0,0,-21.840381460357400,58.87121371932440
132.664,31.3702,-7.5482615,132.603,31.2565,-7.2004582,132.788,31.2775,-4.9254022,0,25.321355268109400,-17.917048390134200
132.603,31.2565,-7.2004582,132.688,31.1515,-4.4547241,132.788,31.2775,-4.9254022,0,25.711369559943800,-18.744262857380100
132.831,31.0104,0.0,132.71,31.0298,-2.3233299,132.776,30.9131,0.0,0,29.666629407876600,-19.195270274871500
132.636,30.9176,-2.7724891,132.72,30.7854,0.0,132.776,30.9131,0.0,0,29.997997924726300,-19.464648910421600
132.72,30.7854,0.0,132.636,30.9176,-2.7724891,132.541,30.7726,-3.5179775,0,29.107795033784100,-19.276007489338300
132.876,31.6201,-7.1720434,132.836,31.7612,-10.0,132.756,31.6229,-8.4927546,0,27.03556870813280,11.064802025899000
132.836,31.7612,-10.0,132.695,31.7015,-10.0,132.756,31.6229,-8.4927546,0,26.489099267576800,5.444432596487720
133.208,31.238,0.0,133.219,31.2488,0.0,133.163,31.284,-0.91063035,0,29.9114335677108,13.841885473098700
133.262,31.3855,0.0,133.163,31.284,-0.91063035,133.219,31.2488,0.0,0,29.977840520913100,19.71914982806930
133.094,31.1611,0.0,133.208,31.238,0.0,133.163,31.284,-0.91063035,0,29.628189570040700,9.234670019806010
133.163,31.284,-0.91063035,133.036,31.2431,-1.6106382,133.094,31.1611,0.0,0,29.064768785836200,6.397726231390770
136.826,32.9607,0.0,136.973,33.0169,0.0,136.873,33.0946,-2.3962722,0,-22.70688945154780,59.99948756992150
136.873,33.0946,-2.3962722,136.746,33.0426,-2.2961115,136.826,32.9607,0.0,0,-23.159003190700600,59.18402468231810
132.984,31.5299,-4.9496297,132.984,31.6535,-6.8058928,132.876,31.6201,-7.1720434,0,27.455230048451600,25.940467177050500
134.709,32.2522,0.0,134.848,32.3208,0.0,134.728,32.3912,-2.1533578,0,1.0843667908123700,-1.0771816363315900
133.66,31.8223,-2.7734885,133.789,31.9263,-3.7056374,133.647,31.945,-5.9791631,0,29.02944277935490,6.940398161679570
134.627,33.022,-10.0,134.512,32.9285,-10.0,134.66,32.9281,-8.3832364,0,1.6974272536478400,58.98709798176560
134.512,32.9285,-10.0,134.572,32.7916,-7.9957555,134.66,32.9281,-8.3832364,0,8.375488211579280,59.99936361790970
133.789,31.9263,-3.7056374,133.949,31.9922,-3.3149433,133.776,32.0479,-7.0330262,0,27.66684737608440,-2.3850054210660000
133.9,31.8407,0.0,134.037,31.9116,0.0,133.949,31.9922,-3.3149433,0,24.306638860160900,-19.998328523936500
134.339,32.699,-10.0,134.281,32.572,-10.0,134.458,32.5694,-7.3571455,0,29.2871599990124,51.800362743719
136.746,33.0426,-2.2961115,136.617,32.9642,-1.8515813,136.683,32.8966,0.0,0,-26.966167584534500,58.000039380673100
137.112,33.7263,-10.0,136.977,33.6496,-10.0,137.142,33.6013,-7.9712047,0,-23.745983833913200,35.97315621760190
136.878,33.2332,-4.4903772,136.991,33.1493,-1.9826412,137.039,33.2743,-3.9489243,0,-17.185834936346700,51.09206078392890
133.086,31.3875,-2.5477505,132.984,31.5299,-4.9496297,132.941,31.4353,-4.6884757,0,27.174596680461500,21.431853096603300
132.666,30.6572,0.0,132.541,30.7726,-3.5179775,132.468,30.6666,-4.3067777,0,24.62276420858330,-19.15375611115890
132.541,30.7726,-3.5179775,132.666,30.6572,0.0,132.72,30.7854,0.0,0,27.29977140913940,-19.366452235977100
132.603,31.2565,-7.2004582,132.521,31.1453,-7.043649,132.688,31.1515,-4.4547241,0,25.999801228693700,-19.99995075576650
132.664,31.3702,-7.5482615,132.486,31.342,-10.0,132.603,31.2565,-7.2004582,0,25.68421845134530,-19.998529542396300
132.521,31.1453,-7.043649,132.61,31.0557,-4.4818304,132.688,31.1515,-4.4547241,0,27.022943667521200,-19.87381438332080
132.61,31.0557,-4.4818304,132.521,31.1453,-7.043649,132.48,31.02,-6.7180443,0,26.62945354271160,-18.92434077358540
133.96,32.2734,-10.0,134.117,32.2049,-5.8910232,134.084,32.3596,-10.0,0,28.680443227906400,35.28701370982330
134.417,32.818,-10.0,134.339,32.699,-10.0,134.476,32.6962,-8.1886388,0,24.077625951090700,56.27394902095460
134.572,32.7916,-7.9957555,134.417,32.818,-10.0,134.476,32.6962,-8.1886388,0,20.316650312089200,58.35651029554110
132.427,30.8871,-6.6552934,132.48,31.02,-6.7180443,132.294,30.969,-10.0,0,22.057267185063300,-16.933142880654400
135.735,33.0264,-10.0,135.885,32.9483,-6.9823595,135.884,33.0796,-10.0,0,-11.99826045668900,21.901965883042900
137.732,33.52,-1.3620874,137.828,33.6957,-2.7309865,137.612,33.6346,-4.0220501,0,-23.886005229846800,55.3298816717589
137.828,33.6957,-2.7309865,137.732,33.52,-1.3620874,137.899,33.5512,0.0,0,-22.53215642042030,53.49641909779020
134.264,32.199,-3.7167563,134.208,32.3226,-7.4391988,134.117,32.2049,-5.8910232,0,25.23078902766490,19.97357509176520
134.208,32.3226,-7.4391988,134.084,32.3596,-10.0,134.117,32.2049,-5.8910232,0,28.14914291215510,32.98424714414770
136.873,33.0946,-2.3962722,136.878,33.2332,-4.4903772,136.738,33.1893,-4.9184762,0,-17.21477100201180,50.818898560477900
136.991,33.1493,-1.9826412,136.873,33.0946,-2.3962722,136.973,33.0169,0.0,0,-20.974964734638100,58.41977470870080
